iter	Logloss
0	0.6733298911
1	0.6543237747
2	0.6353845394
3	0.6194062921
4	0.6064113205
5	0.5955016763
6	0.5854739279
7	0.5766534285
8	0.5673764202
9	0.5598255307
10	0.552545407
11	0.5456203459
12	0.5390449308
13	0.5335705062
14	0.5276684357
15	0.5217968142
16	0.5172003726
17	0.5118119497
18	0.5090228118
19	0.5049107536
20	0.5026538105
21	0.5010059173
22	0.4986845596
23	0.49643417
24	0.4929890383
25	0.4908341379
26	0.4885624444
27	0.4870772376
28	0.485298166
29	0.483838288
30	0.4825699035
31	0.481448275
32	0.4800707874
33	0.4777326675
34	0.4765021305
35	0.4752295345
36	0.47389957
37	0.4733645412
38	0.4712125584
39	0.4694422763
40	0.4683564917
41	0.4679243733
42	0.4671381056
43	0.4663989058
44	0.4652626774
45	0.4639185483
46	0.4630189166
47	0.4625298933
48	0.4616508251
49	0.4609341442
50	0.4596624304
51	0.4587550567
52	0.4579775658
53	0.4576700629
54	0.4570364014
55	0.4565080587
56	0.4553539119
57	0.4543729581
58	0.4534876072
59	0.4531763037
60	0.4524846656
61	0.4520089257
62	0.4514634595
63	0.4508728828
64	0.4500966208
65	0.4496001184
66	0.4491091001
67	0.4485119748
68	0.4481990872
69	0.4478096001
70	0.4472569055
71	0.4468430427
72	0.4463953372
73	0.445986869
74	0.4457569737
75	0.4454907976
76	0.4452816
77	0.4449184655
78	0.4443025365
79	0.4439152283
80	0.443695079
81	0.442875607
82	0.4423434232
83	0.4418361834
84	0.4413380866
85	0.4411406127
86	0.4407201056
87	0.4403323076
88	0.4401119279
89	0.4398054359
90	0.4395836254
91	0.4391376397
92	0.438869107
93	0.4387468585
94	0.4382062516
95	0.4380460824
96	0.4377290634
97	0.4373686575
98	0.4371037666
99	0.4369651151
100	0.436651168
101	0.436285523
102	0.4359757583
103	0.4357887249
104	0.4352616783
105	0.4349084878
106	0.4346652403
107	0.4343991494
108	0.4343028136
109	0.4341602281
110	0.4339011707
111	0.4336900236
112	0.4334745346
113	0.4332753649
114	0.4329574751
115	0.4326473651
116	0.4324026035
117	0.4321291252
118	0.4317781236
119	0.4315286734
120	0.431327284
121	0.4311586189
122	0.431079532
123	0.4307568724
124	0.430488461
125	0.4301792319
126	0.4300120972
127	0.4298978898
128	0.4295242328
129	0.429313838
130	0.4291058055
131	0.4289332498
132	0.4287229919
133	0.4284645148
134	0.4283410962
135	0.4280101897
136	0.4278158588
137	0.4276708996
138	0.4273877778
139	0.4271874392
140	0.4269761369
141	0.426864663
142	0.4266864449
143	0.4265197472
144	0.4263443886
145	0.4261358413
146	0.4259840531
147	0.4258660546
148	0.4256992516
149	0.4254871659
150	0.4252011595
151	0.4249174209
152	0.4247356403
153	0.4245369276
154	0.4244255913
155	0.4243242956
156	0.423929885
157	0.4237879658
158	0.4237082713
159	0.4236280981
160	0.4234871783
161	0.4232463066
162	0.4229198145
163	0.4227478873
164	0.4227011894
165	0.4225397964
166	0.4222913649
167	0.4220007925
168	0.4216165465
169	0.4214661318
170	0.4212999206
171	0.421098704
172	0.4207313335
173	0.4204940154
174	0.4203131111
175	0.4201419806
176	0.4197610563
177	0.4196492168
178	0.4195488474
179	0.4193469471
180	0.4191568526
181	0.4189496987
182	0.4185391063
183	0.4183395227
184	0.4180246709
185	0.4179597175
186	0.4177239977
187	0.4174871925
188	0.4173849168
189	0.4170869831
190	0.4170383071
191	0.4166936226
192	0.4164941898
193	0.4163455565
194	0.4161413226
195	0.4159847552
196	0.4157179036
197	0.4154549699
198	0.4152018851
199	0.4149070945
200	0.4146477986
201	0.414458887
202	0.4141555812
203	0.4139594046
204	0.4138402023
205	0.41338147
206	0.4131924171
207	0.4129930558
208	0.4127724621
209	0.4124552981
210	0.4122997163
211	0.4121759446
212	0.4119715759
213	0.4117186948
214	0.4114627202
215	0.4112432479
216	0.4109957919
217	0.4107269354
218	0.4105500478
219	0.4102262008
220	0.4099490825
221	0.4097654447
222	0.4095173344
223	0.409299767
224	0.4090052272
225	0.4088006197
226	0.408533472
227	0.4083693386
228	0.4081154179
229	0.4079994178
230	0.4077037048
231	0.4074194634
232	0.4072134239
233	0.4069802692
234	0.4066538368
235	0.4064267439
236	0.4062778546
237	0.4059268322
